planet_id,planet_name,mass,radius,density,t_eq,flux,distance_to_star,period,habitable_score,star_name,temperature,st_rad,st_mass,st_metalicity,st_lum,st_spectral_type,st_subclass
KEPLER236CKEPLER236,Kepler-236 c,776.1323276277063,2.0,3.2,329.0,3.802,0.132,23.968127,0.0,Kepler-236,3750.0,0.51,0.596005,-0.05,-1.22915,M,1.0
KEPLER236BKEPLER236,Kepler-236 b,776.1323276277063,1.57,4.39,469.0,15.632,0.065,8.295611,0.0,Kepler-236,3750.0,0.51,0.596005,-0.05,-1.22915,M,1.0
KEPLER418BKEPLER418,Kepler-418 b,349.6112477,13.45,4.8225933472508595,434.0,8.877,0.39249,86.67856,0.0,Kepler-418,5822.0,1.081,0.957,-0.06,0.11114,G,0.0
KEPLER587BKEPLER587,Kepler-587 b,776.1323276277063,2.23,2.77,764.0,70.965,0.0952,10.94027841,0.0,Kepler-587,5549.0,0.89,0.92,-0.05,-0.23792,G,0.0
KEPLER633BKEPLER633,Kepler-633 b,776.1323276277063,1.63,4.17,1021.0,454.5,0.08185,8.50340718,0.0,Kepler-633,5899.0,1.15,1.02,-0.05,0.16,G,0.0
KEPLER661BKEPLER661,Kepler-661 b,776.1323276277063,3.07,1.83,678.0,45.528,0.0585,6.029301321,0.0,Kepler-661,4483.0,0.67,0.7,-0.05,-0.81411,K,0.0
KEPLER675BKEPLER675,Kepler-675 b,776.1323276277063,2.44,2.47,1070.0,308.547,0.0325,2.33743801,0.0,Kepler-675,4945.0,0.75,0.79,-0.05,-0.50669,K,0.0
KEPLER682BKEPLER682,Kepler-682 b,776.1323276277063,7.37,0.585,753.0,306.102,0.1058,12.611906672,0.0,Kepler-682,5559.0,0.89,0.92,-0.05,0.47994,G,0.0
KEPLER729BKEPLER729,Kepler-729 b,776.1323276277063,3.58,1.5,1273.0,1089.549,0.0432,3.166353714,0.0,Kepler-729,5633.0,0.91,0.94,-0.05,0.26135,G,0.0
KEPLER767BKEPLER767,Kepler-767 b,776.1323276277063,6.64,0.67,366.0,9.365,0.5874,161.5280101,0.0,Kepler-767,5694.0,0.94,0.96,-0.05,0.47562,G,0.0
KEPLER790BKEPLER790,Kepler-790 b,776.1323276277063,2.18,2.86,634.0,38.274,0.101,13.73469807,0.0,Kepler-790,5208.0,0.8,0.84,-0.05,-0.42384,K,0.0
KEPLER916BKEPLER916,Kepler-916 b,776.1323276277063,1.76,3.78,503.0,14.683,0.1885,32.2968798,0.0,Kepler-916,5248.0,0.81,0.85,-0.05,-0.27846,K,0.0
KEPLER922BKEPLER922,Kepler-922 b,776.1323276277063,1.42,4.99,1876.0,2142.634,0.01795,0.938466832,0.0,Kepler-922,5671.0,0.93,0.95,-0.05,-0.13328,G,0.0
LSPMJ21160234BLSPMJ21160234,LSPM J2116+0234 b,776.1323276277063,3.71,1.43,810.0,419.6014612575567,0.0876,14.4399,0.0,LSPM J2116+0234,3475.0,0.431,0.43,-0.05,-1.69897,M,3.0
OGLE2TRL9BOGLE2TRL9,OGLE2-TR-L9 b,1430.175,18.046,1.25,2034.0,4135.3642,0.0308,2.4855335,0.0,OGLE2-TR-L9,6933.0,1.53,1.52,-0.05,0.51197,F,0.0
TOI1516BTOI1516,TOI-1516 b,1004.33776612,15.24421375,1.56,1839.0,1899.83,3.1038542456009397,2.056014,0.0,TOI-1516,6520.0,1.14,1.14,-0.05,0.39065,F,8.0
TOI2285BTOI2285,TOI-2285 b,19.5,1.77,4.8225933472508595,358.0,3.91,0.1363,13.635109,0.0,TOI-2285,3491.0,0.464,0.454,-0.05,-1.54212,M,0.0
TOI238BTOI238,TOI-238 b,3.4,1.612,6.8,1456.61,747.65,0.0212,1.273114,0.0,TOI-238,5059.0,0.733,0.79,-0.114,-0.47083,K,2.0
TOI286CTOI286,TOI-286 c,3.72,1.88,3.09,475.0,22.4437,0.213,39.361826,0.0,TOI-286,5152.0,0.78,0.832,-0.05,-0.41364,K,3.0
TOI286BTOI286,TOI-286 b,4.53,1.42,8.63,979.0,86.7681,0.0503,4.5117244,0.0,TOI-286,5152.0,0.78,0.832,-0.05,-0.41364,K,3.0
WASP120BWASP120,WASP-120 b,1541.4755,16.510857,2.0,1880.0,1818.5489,0.0514,3.6112706,0.0,WASP-120,6450.0,1.87,1.393,-0.05,0.67509,F,5.0
WASP22BWASP22,WASP-22 b,212.9461,13.78707,0.444,1502.0,837.7034,0.047,3.53269,0.0,WASP-22,6000.0,1.24,1.46,-0.05,0.245,G,1.0
WASP23BWASP23,WASP-23 b,280.95,10.783,1.17,1076.55,317.4314,0.0376,2.9444256,0.0,WASP-23,5150.0,0.765,0.78,-0.05,-0.37679,K,0.0
WASP25BWASP25,WASP-25 b,139.8452,11.99363,0.382,1210.0,357.0123,0.0473,3.76483,0.0,WASP-25,5750.0,0.8,0.67,-0.05,-0.143,G,0.0
WASP43BWASP43,WASP-43 b,565.714,10.424,2.939,1426.7,680.8953,0.0142,0.813475,0.0,WASP-43,4400.0,0.6,0.58,-0.05,-0.82509,K,7.0
GJ1265BGJ1265,GJ 1265 b,776.1323276277063,2.63,2.24,810.0,419.6014612575567,0.026,3.6511,0.0,GJ 1265,3236.0,0.192,0.178,-0.04,-2.4389,M,4.5
GJ3942BGJ3942,GJ 3942 b,776.1323276277063,2.57,2.31,590.0,419.6014612575567,0.0608,6.905,0.0,GJ 3942,3867.0,0.61,0.63,-0.04,-1.12,M,0.0
HATP26BHATP26,HAT-P-26 b,22.2481,7.06167,0.4,1001.0,185.0743,0.0479,4.23452,0.0,HAT-P-26,5079.0,0.87,1.12,-0.04,-0.35928,K,1.0
HD164595BHD164595,HD 164595 b,776.1323276277063,4.16,1.23,810.0,419.6014612575567,0.23,40.0,0.0,HD 164595,5790.0,1.023606,0.99,-0.04,0.01725,G,2.0
HD180617BHD180617,HD 180617 b,776.1323276277063,3.53,1.53,810.0,419.6014612575567,0.343,105.911,0.667,HD 180617,3534.0,0.481,0.484,-0.04,-1.49,M,2.5
HD18742BHD18742,HD 18742 b,776.1323276277063,13.1,2.64,810.0,419.6014612575567,1.82,766.0,0.0,HD 18742,4940.0,5.13,1.36,-0.04,1.14301,G,8.0
HD192310BHD192310,HD 192310 b,776.1323276277063,4.27,1.19,355.0,419.6014612575567,0.32,74.72,0.0,HD 192310,5166.0,0.857922,0.8,-0.04,-0.41454,K,3.0
HD192310CHD192310,HD 192310 c,776.1323276277063,5.25,0.911,185.0,419.6014612575567,1.18,525.8,0.333,HD 192310,5166.0,0.857922,0.8,-0.04,-0.41454,K,3.0
HD213885CHD213885,HD 213885 c,776.1323276277063,4.71,1.05,1265.4,419.6014612575567,0.056798,4.78503,0.0,HD 213885,5978.0,1.1011,1.068,-0.04,0.13862,G,0.0
HD213885BHD213885,HD 213885 b,8.83,1.745,9.15,2128.0,1882.94,0.02012,1.008035,0.0,HD 213885,5978.0,1.1011,1.068,-0.04,0.13862,G,0.0
HD219415BHD219415,HD 219415 b,776.1323276277063,13.8,0.665,810.0,419.6014612575567,3.2,2093.3,0.333,HD 219415,4820.0,2.9,1.0,-0.04,0.62,K,0.0
HD50554BHD50554,HD 50554 b,1859.29618095,12.8,4.87,810.0,419.6014612575567,2.353,1293.0,0.333,HD 50554,5987.0,1.02,1.04,-0.04,0.143,F,8.0
HD81040BHD81040,HD 81040 b,2393.24790471,12.6,6.57,810.0,419.6014612575567,1.946,1004.7,0.0,HD 81040,5755.0,0.91,0.962,-0.04,-0.07676,G,2.0
K2131BK2131,K2-131 b,7.9,1.69,8.8,2223.0,4070.0,0.00936,0.3693038,0.0,K2-131,5120.0,0.7595,0.803,-0.04,-0.47906,K,0.0
K2200BK2200,K2-200 b,776.1323276277063,1.3643987,5.26,810.0,419.6014612575567,3.1038542456009397,2.849883,0.0,K2-200,5233.0,0.791736,0.860208,-0.04,-0.4288,K,0.0
K2251BK2251,K2-251 b,776.1323276277063,2.35,2.59,437.0,419.6014612575567,0.0694,9.30075,0.0,K2-251,3717.0,0.49,0.52,-0.04,-1.34211,M,0.0
K2354BK2354,K2-354 b,776.1323276277063,1.56,4.41,543.0,419.6014612575567,3.1038542456009397,3.793306,0.0,K2-354,3669.0,0.41,0.43,-0.04,-1.6137,M,0.0
KIC10525077BKIC10525077,KIC 10525077 b,776.1323276277063,5.5,0.855,810.0,419.6014612575567,3.1038542456009397,854.083,0.667,KIC 10525077,6091.0,1.01,1.01,-0.04,0.12899,F,0.0
KEPLER1004BKEPLER1004,Kepler-1004 b,776.1323276277063,6.28,0.721,1661.0,1610.087,0.06791,5.28789787,0.0,Kepler-1004,4972.0,3.39,1.11,-0.04,0.71341,K,0.0
KEPLER1038BKEPLER1038,Kepler-1038 b,776.1323276277063,3.53,1.52,285.0,1.512,0.5238,148.4603382,0.0,Kepler-1038,5159.0,0.821,0.868,0.16,-0.362,K,0.0
KEPLER1090BKEPLER1090,Kepler-1090 b,776.1323276277063,2.25,2.74,297.0,1.825,0.63323,198.680179,0.667,Kepler-1090,5321.0,0.82,0.86,-0.04,-0.14595,G,0.0
KEPLER1101BKEPLER1101,Kepler-1101 b,776.1323276277063,2.47,2.43,393.0,3.577,0.3483,81.3151059,0.0,Kepler-1101,5614.0,0.91,0.94,-0.04,-0.35135,G,0.0
KEPLER1120BKEPLER1120,Kepler-1120 b,776.1323276277063,1.38,5.19,1027.0,206.874,0.0369,2.949029052,0.0,Kepler-1120,4904.0,0.74,0.78,-0.04,-0.58813,K,0.0
KEPLER1129CKEPLER1129,Kepler-1129 c,776.1323276277063,2.73,2.13,503.0,7.006,0.35367,76.5369586,0.0,Kepler-1129,5831.0,1.0,1.0,-0.04,-0.0274,G,0.0
KEPLER1129BKEPLER1129,Kepler-1129 b,776.1323276277063,2.96,1.92,737.0,32.265,0.16481,24.3397804,0.0,Kepler-1129,5831.0,1.0,1.0,-0.04,-0.0274,G,0.0
KEPLER1165CKEPLER1165,Kepler-1165 c,776.1323276277063,3.36093385,1.62,644.0,40.76,0.1969,29.96870041,0.0,Kepler-1165,6249.0,1.076,1.13,-0.04,0.55152,F,0.0
